Date,Type,Price
2009-01-02,Open,0.000000
2009-01-02,Close,13.370000
2009-01-05,Open,0.000000
2009-01-05,Close,13.155500
2009-01-06,Open,0.000000
2009-01-06,Close,13.040000
2009-01-07,Open,0.000000
2009-01-07,Close,13.215000
2009-01-09,Open,0.000000
2009-01-09,Close,13.168900
2009-01-12,Open,0.000000
2009-01-12,Close,13.090000
2009-01-13,Open,0.000000
2009-01-13,Close,12.965400
2009-01-14,Open,0.000000
2009-01-14,Close,13.020000
2009-01-15,Open,0.000000
2009-01-15,Close,12.864000
2009-01-16,Open,0.000000
2009-01-16,Close,13.000000
2009-01-19,Open,0.000000
2009-01-19,Close,13.100000
2009-01-20,Open,0.000000
2009-01-20,Close,13.072300
2009-01-21,Open,0.000000
2009-01-21,Close,13.450000
2009-01-22,Open,0.000000
2009-01-22,Close,13.360000
2009-01-23,Open,0.000000
2009-01-23,Close,13.500000
2009-01-27,Open,0.000000
2009-01-27,Close,13.692000
2009-01-28,Open,0.000000
2009-01-28,Close,13.500000
2009-01-29,Open,0.000000
2009-01-29,Close,13.459800
2009-01-30,Open,0.000000
2009-01-30,Close,14.000000
2009-02-02,Open,0.000000
2009-02-02,Close,14.010000
2009-02-03,Open,0.000000
2009-02-03,Close,13.871500
2009-02-04,Open,0.000000
2009-02-04,Close,13.824000
2009-02-05,Open,0.000000
2009-02-05,Close,13.940000
2009-02-06,Open,0.000000
2009-02-06,Close,13.942500
2009-02-09,Open,0.000000
2009-02-09,Close,13.880000
2009-02-10,Open,0.000000
2009-02-10,Close,13.870000
2009-02-11,Open,0.000000
2009-02-11,Close,14.141000
2009-02-12,Open,0.000000
2009-02-12,Close,14.480000
2009-02-13,Open,0.000000
2009-02-13,Close,14.401500
2009-02-16,Open,0.000000
2009-02-16,Close,14.538500
2009-02-17,Open,0.000000
2009-02-17,Close,15.040000
2009-02-18,Open,0.000000
2009-02-18,Close,15.444000
2009-02-19,Open,0.000000
2009-02-19,Close,15.370300
2009-02-20,Open,0.000000
2009-02-20,Close,15.450400
2009-02-24,Open,0.000000
2009-02-24,Close,15.445000
2009-02-25,Open,0.000000
2009-02-25,Close,14.980000
2009-02-26,Open,0.000000
2009-02-26,Close,14.901000
2009-02-27,Open,0.000000
2009-02-27,Close,15.079000
2009-03-02,Open,0.000000
2009-03-02,Close,15.430000
2009-03-03,Open,0.000000
2009-03-03,Close,15.100000
2009-03-04,Open,0.000000
2009-03-04,Close,14.914400
2009-03-05,Open,0.000000
2009-03-05,Close,14.900000
2009-03-06,Open,0.000000
2009-03-06,Close,15.266000
2009-03-09,Open,0.000000
2009-03-09,Close,15.263900
2009-03-12,Open,0.000000
2009-03-12,Close,14.931000
2009-03-13,Open,0.000000
2009-03-13,Close,15.000000
2009-03-16,Open,0.000000
2009-03-16,Close,15.021200
2009-03-17,Open,0.000000
2009-03-17,Close,14.940000
2009-03-18,Open,0.000000
2009-03-18,Close,14.890000
2009-03-19,Open,0.000000
2009-03-19,Close,14.902500
2009-03-20,Open,0.000000
2009-03-20,Close,15.299700
2009-03-23,Open,0.000000
2009-03-23,Close,15.320000
2009-03-24,Open,0.000000
2009-03-24,Close,15.149000
2009-03-25,Open,0.000000
2009-03-25,Close,14.890000
2009-03-26,Open,0.000000
2009-03-26,Close,15.070000
2009-03-27,Open,0.000000
2009-03-27,Close,15.070000
2009-03-30,Open,0.000000
2009-03-30,Close,15.100000
2009-03-31,Open,0.000000
2009-03-31,Close,14.934400
2009-04-01,Open,0.000000
2009-04-01,Close,14.900000
2009-04-02,Open,0.000000
2009-04-02,Close,14.720000
2009-04-06,Open,0.000000
2009-04-06,Close,14.040000
2009-04-08,Open,0.000000
2009-04-08,Close,14.369900
2009-04-09,Open,0.000000
2009-04-09,Close,14.187000
2009-04-13,Open,0.000000
2009-04-13,Close,14.229900
2009-04-15,Open,0.000000
2009-04-15,Close,14.241000
2009-04-16,Open,0.000000
2009-04-16,Close,14.210100
2009-04-17,Open,0.000000
2009-04-17,Close,13.911000
2009-04-20,Open,0.000000
2009-04-20,Close,14.010000
2009-04-21,Open,0.000000
2009-04-21,Close,14.259900
2009-04-22,Open,0.000000
2009-04-22,Close,14.250000
2009-04-23,Open,0.000000
2009-04-23,Close,14.270000
2009-04-24,Open,0.000000
2009-04-24,Close,14.599900
2009-04-27,Open,0.000000
2009-04-27,Close,14.639000
2009-04-28,Open,0.000000
2009-04-28,Close,14.510000
2009-04-29,Open,0.000000
2009-04-29,Close,14.379900
2009-05-04,Open,0.000000
2009-05-04,Close,14.247900
2009-05-05,Open,0.000000
2009-05-05,Close,14.289200
2009-05-06,Open,0.000000
2009-05-06,Close,14.338900
2009-05-07,Open,0.000000
2009-05-07,Close,14.430000
2009-05-08,Open,0.000000
2009-05-08,Close,14.449800
2009-05-11,Open,0.000000
2009-05-11,Close,14.400000
2009-05-12,Open,0.000000
2009-05-12,Close,14.449300
2009-05-13,Open,0.000000
2009-05-13,Close,14.640000
2009-05-14,Open,0.000000
2009-05-14,Close,14.630000
2009-05-15,Open,0.000000
2009-05-15,Close,14.605500
2009-05-18,Open,0.000000
2009-05-18,Close,14.629600
2009-05-19,Open,0.000000
2009-05-19,Close,14.080000
2009-05-20,Open,0.000000
2009-05-20,Close,14.060000
2009-05-21,Open,0.000000
2009-05-21,Close,14.230000
2009-05-22,Open,0.000000
2009-05-22,Close,14.340000
2009-05-25,Open,0.000000
2009-05-25,Close,14.380000
2009-05-26,Open,0.000000
2009-05-26,Close,14.380000
2009-05-27,Open,0.000000
2009-05-27,Close,14.415000
2009-05-28,Open,0.000000
2009-05-28,Close,14.520000
2009-05-29,Open,0.000000
2009-05-29,Close,14.670000
2009-06-01,Open,0.000000
2009-06-01,Close,14.800000
2009-06-02,Open,0.000000
2009-06-02,Close,14.640100
2009-06-03,Open,0.000000
2009-06-03,Close,14.725000
2009-06-04,Open,0.000000
2009-06-04,Close,14.620000
2009-06-05,Open,0.000000
2009-06-05,Close,14.794000
2009-06-08,Open,0.000000
2009-06-08,Close,14.588900
2009-06-09,Open,0.000000
2009-06-09,Close,14.403500
2009-06-10,Open,0.000000
2009-06-10,Close,14.575000
2009-06-11,Open,0.000000
2009-06-11,Close,14.535000
2009-06-12,Open,0.000000
2009-06-12,Close,14.420000
2009-06-15,Open,0.000000
2009-06-15,Close,14.301000
