Date,Type,Price
2022-02-04,Open,60.959599
2022-02-04,Close,60.959599
2022-02-07,Open,60.000000
2022-02-07,Close,61.770000
2022-02-08,Open,62.000000
2022-02-08,Close,62.279999
2022-02-09,Open,62.500000
2022-02-09,Close,62.770000
2022-02-10,Open,63.000000
2022-02-10,Close,62.799999
2022-02-11,Open,62.980000
2022-02-11,Close,62.360001
2022-02-14,Open,62.400002
2022-02-14,Close,64.089996
2022-02-15,Open,64.199997
2022-02-15,Close,63.189999
2022-02-16,Open,63.299999
2022-02-16,Close,63.240002
2022-02-17,Open,64.000000
2022-02-17,Close,63.869999
2022-02-18,Open,64.000000
2022-02-18,Close,63.790001
2022-02-21,Open,63.990002
2022-02-21,Close,63.419998
2022-02-22,Open,63.500000
2022-02-22,Close,64.290001
2022-02-23,Open,64.290001
2022-02-23,Close,64.080002
2022-02-24,Open,64.150002
2022-02-24,Close,66.980003
2022-02-25,Open,66.980003
2022-02-25,Close,64.680000
2022-02-28,Open,65.000000
2022-02-28,Close,64.849998
2022-03-02,Open,66.599998
2022-03-02,Close,67.089996
2022-03-03,Open,67.300003
2022-03-03,Close,67.480003
2022-03-04,Open,67.599998
2022-03-04,Close,67.519997
2022-03-07,Open,67.599998
2022-03-07,Close,70.370003
2022-03-08,Open,71.199997
2022-03-08,Close,70.559998
2022-03-09,Open,71.580002
2022-03-09,Close,70.650002
2022-03-10,Open,68.500000
2022-03-10,Close,68.500000
2022-03-11,Open,68.699997
2022-03-11,Close,69.470001
2022-03-14,Open,69.989998
2022-03-14,Close,68.489998
2022-03-15,Open,68.000000
2022-03-15,Close,66.959999
2022-03-16,Open,66.959999
2022-03-16,Close,67.139999
2022-03-17,Open,68.250000
2022-03-17,Close,67.550003
2022-03-21,Open,67.750000
2022-03-21,Close,67.349998
2022-03-22,Open,67.800003
2022-03-22,Close,67.470001
2022-03-23,Open,67.300003
2022-03-23,Close,67.339996
2022-03-24,Open,67.800003
2022-03-24,Close,67.519997
2022-03-25,Open,67.800003
2022-03-25,Close,68.599998
2022-03-28,Open,67.000000
2022-03-28,Close,67.349998
2022-03-29,Open,67.500000
2022-03-29,Close,66.389999
2022-03-30,Open,66.660004
2022-03-30,Close,66.650002
2022-03-31,Open,66.650002
2022-03-31,Close,66.300003
2022-04-01,Open,66.599998
2022-04-01,Close,66.720001
2022-04-04,Open,66.980003
2022-04-04,Close,66.540001
2022-04-05,Open,66.500000
2022-04-05,Close,66.150002
2022-04-06,Open,66.000000
2022-04-06,Close,65.980003
2022-04-07,Open,66.250000
2022-04-07,Close,66.040001
2022-04-08,Open,66.379997
2022-04-08,Close,66.480003
2022-04-11,Open,66.690002
2022-04-11,Close,67.349998
2022-04-12,Open,68.000000
2022-04-12,Close,67.400002
2022-04-13,Open,67.800003
2022-04-13,Close,69.000000
2022-04-18,Open,68.309998
2022-04-18,Close,69.620003
2022-04-19,Open,69.879997
2022-04-19,Close,69.599998
2022-04-20,Open,69.180000
2022-04-20,Close,68.059998
2022-04-21,Open,68.199997
2022-04-21,Close,67.459999
2022-04-22,Open,67.830002
2022-04-22,Close,66.330002
2022-04-25,Open,66.330002
2022-04-25,Close,65.309998
2022-04-26,Open,65.599998
2022-04-26,Close,65.419998
2022-04-27,Open,65.599998
2022-04-27,Close,64.980003
2022-04-28,Open,64.980003
2022-04-28,Close,64.250000
2022-04-29,Open,64.400002
2022-04-29,Close,64.570000
2022-05-02,Open,64.449997
2022-05-02,Close,62.830002
2022-05-04,Open,62.500000
2022-05-04,Close,62.630001
2022-05-05,Open,62.700001
2022-05-05,Close,63.349998
2022-05-06,Open,63.340000
2022-05-06,Close,62.490002
2022-05-09,Open,64.010002
2022-05-09,Close,61.980000
2022-05-10,Open,62.290001
2022-05-10,Close,61.639999
2022-05-11,Open,61.500000
2022-05-11,Close,61.360001
2022-05-12,Open,61.360001
2022-05-12,Close,59.990002
2022-05-13,Open,59.990002
2022-05-13,Close,59.139999
2022-05-16,Open,59.500000
2022-05-16,Close,59.980000
2022-05-17,Open,60.400002
2022-05-17,Close,61.380001
2022-05-18,Open,61.380001
2022-05-18,Close,61.180000
2022-05-19,Open,61.299999
2022-05-19,Close,60.580002
2022-05-20,Open,61.990002
2022-05-20,Close,61.900002
2022-05-23,Open,63.400002
2022-05-23,Close,62.020000
2022-05-24,Open,61.450001
2022-05-24,Close,61.360001
2022-05-25,Open,61.720001
2022-05-25,Close,61.439999
2022-05-26,Open,61.200001
2022-05-26,Close,61.119999
2022-05-27,Open,61.400002
2022-05-27,Close,62.209999
2022-05-30,Open,62.189999
2022-05-30,Close,61.790001
2022-05-31,Open,61.740002
2022-05-31,Close,61.330002
2022-06-01,Open,64.800003
2022-06-01,Close,60.419998
2022-06-02,Open,64.800003
2022-06-02,Close,61.610001
2022-06-03,Open,61.990002
2022-06-03,Close,62.130001
2022-06-06,Open,62.200001
2022-06-06,Close,62.180000
2022-06-07,Open,62.000000
2022-06-07,Close,61.599998
2022-06-08,Open,61.660000
2022-06-08,Close,61.709999
2022-06-09,Open,61.720001
2022-06-09,Close,61.560001
2022-06-10,Open,60.990002
2022-06-10,Close,60.570000
2022-06-13,Open,61.380001
2022-06-13,Close,60.689999
2022-06-14,Open,64.800003
2022-06-14,Close,59.770000
2022-06-15,Open,60.000000
2022-06-15,Close,60.459999
2022-06-16,Open,61.240002
2022-06-16,Close,60.709999
2022-06-17,Open,60.500000
2022-06-17,Close,61.320000
2022-06-20,Open,61.099998
2022-06-20,Close,60.849998
2022-06-21,Open,61.150002
2022-06-21,Close,60.910000
2022-06-22,Open,60.009998
2022-06-22,Close,60.290001
2022-06-23,Open,60.240002
2022-06-23,Close,60.049999
2022-06-24,Open,60.049999
2022-06-24,Close,59.330002
2022-06-27,Open,59.599998
2022-06-27,Close,60.580002
2022-06-28,Open,60.299999
2022-06-28,Close,60.360001
2022-06-29,Open,59.880001
2022-06-29,Close,59.299999
2022-06-30,Open,59.310001
2022-06-30,Close,58.970001
2022-07-01,Open,59.000000
2022-07-01,Close,57.970001
2022-07-04,Open,58.900002
2022-07-04,Close,58.009998
2022-07-05,Open,58.200001
2022-07-05,Close,58.259998
2022-07-06,Open,64.500000
2022-07-06,Close,57.349998
2022-07-07,Open,57.450001
2022-07-07,Close,57.270000
2022-07-08,Open,57.900002
2022-07-08,Close,56.689999
2022-07-11,Open,56.500000
2022-07-11,Close,56.799999
2022-07-12,Open,57.799999
2022-07-12,Close,56.180000
2022-07-13,Open,57.000000
2022-07-13,Close,56.279999
2022-07-14,Open,56.700001
2022-07-14,Close,56.020000
2022-07-15,Open,55.750000
2022-07-15,Close,54.680000
2022-07-18,Open,55.900002
2022-07-18,Close,55.910000
